CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
387,Baudette,Minnesota,3424,US-Canada Border,5/1/2018,Buses,14,-94.72512,48.70731
388,Northgate,North Dakota,3406,US-Canada Border,5/1/2018,Trains,14,-102.39634,48.89848
389,Jackman,Maine,104,US-Canada Border,5/1/2018,Buses,14,-70.255,45.62389
390,Sumas,Washington,3009,US-Canada Border,3/1/2018,Trains,14,-122.26361,49.00028
391,Houlton,Maine,106,US-Canada Border,1/1/2018,Buses,14,-67.84083,46.12611
392,Laurier,Washington,3016,US-Canada Border,1/1/2018,Trains,14,-118.22302,48.99892
393,Morgan,Montana,3319,US-Canada Border,12/1/2018,Trucks,15,-107.85719,48.78541
394,Calais,Maine,115,US-Canada Border,11/1/2018,Trains,15,-67.27917,45.18889
395,Opheim,Montana,3317,US-Canada Border,10/1/2018,Trucks,15,-106.40265,48.85574
396,Sumas,Washington,3009,US-Canada Border,10/1/2018,Trains,15,-122.26361,49.00028
397,Norton,Vermont,211,US-Canada Border,9/1/2018,Trains,15,-71.79528,45.01
398,Ogdensburg,New York,701,US-Canada Border,9/1/2018,Buses,15,-75.48167,44.70667
399,Santa Teresa,New Mexico,2408,US-Mexico Border,9/1/2018,Buses,15,-106.67903,31.85
400,Whitlash,Montana,3321,US-Canada Border,8/1/2018,Trucks,15,-111.249,48.90372
401,Roosville,Montana,3318,US-Canada Border,7/1/2018,Buses,15,-115.04512,48.88171
402,Otay Mesa,California,2506,US-Mexico Border,7/1/2018,Trains,15,-117.05333,32.57333
403,Portal,North Dakota,3403,US-Canada Border,7/1/2018,Buses,15,-102.54917,48.99583
404,Morgan,Montana,3319,US-Canada Border,7/1/2018,Trucks,15,-107.85719,48.78541
405,Hansboro,North Dakota,3415,US-Canada Border,6/1/2018,Trucks,15,-99.3825,48.95
406,Ogdensburg,New York,701,US-Canada Border,5/1/2018,Buses,15,-75.48167,44.70667
407,Calais,Maine,115,US-Canada Border,5/1/2018,Buses,15,-67.27917,45.18889
408,Calais,Maine,115,US-Canada Border,5/1/2018,Trains,15,-67.27917,45.18889
409,Norton,Vermont,211,US-Canada Border,4/1/2018,Trains,15,-71.79528,45.01
410,Norton,Vermont,211,US-Canada Border,3/1/2018,Trains,15,-71.79528,45.01
411,Houlton,Maine,106,US-Canada Border,2/1/2018,Buses,15,-67.84083,46.12611
412,Northgate,North Dakota,3406,US-Canada Border,2/1/2018,Trains,15,-102.39634,48.89848
413,Metaline Falls,Washington,3025,US-Canada Border,1/1/2018,Buses,15,-117.36037,48.85798
414,Sumas,Washington,3009,US-Canada Border,1/1/2018,Trains,15,-122.26361,49.00028
415,Norton,Vermont,211,US-Canada Border,1/1/2018,Trains,15,-71.79528,45.01
416,Norton,Vermont,211,US-Canada Border,12/1/2018,Trains,16,-71.79528,45.01
417,Northgate,North Dakota,3406,US-Canada Border,12/1/2018,Trains,16,-102.39634,48.89848
418,Otay Mesa,California,2506,US-Mexico Border,12/1/2018,Trains,16,-117.05333,32.57333
419,Hansboro,North Dakota,3415,US-Canada Border,12/1/2018,Trucks,16,-99.3825,48.95
420,Norton,Vermont,211,US-Canada Border,10/1/2018,Trains,16,-71.79528,45.01
421,Northgate,North Dakota,3406,US-Canada Border,10/1/2018,Trains,16,-102.39634,48.89848
422,Northgate,North Dakota,3406,US-Canada Border,8/1/2018,Trains,16,-102.39634,48.89848
423,Sumas,Washington,3009,US-Canada Border,8/1/2018,Trains,16,-122.26361,49.00028
424,Norton,Vermont,211,US-Canada Border,7/1/2018,Trains,16,-71.79528,45.01
425,Jackman,Maine,104,US-Canada Border,7/1/2018,Buses,16,-70.255,45.62389
426,Port Angeles,Washington,3007,US-Canada Border,7/1/2018,Buses,16,-123.4328,48.11365
427,Dalton Cache,Alaska,3106,US-Canada Border,7/1/2018,Buses,16,-135.40995,59.10606
428,Pinecreek,Minnesota,3425,US-Canada Border,6/1/2018,Trucks,16,-95.81074,48.77518
429,Sweetgrass,Montana,3310,US-Canada Border,5/1/2018,Buses,16,-111.95972,48.99611
430,Port Angeles,Washington,3007,US-Canada Border,5/1/2018,Buses,16,-123.4328,48.11365
431,Jackman,Maine,104,US-Canada Border,4/1/2018,Trains,16,-70.255,45.62389
432,Northgate,North Dakota,3406,US-Canada Border,3/1/2018,Trains,16,-102.39634,48.89848
433,Santa Teresa,New Mexico,2408,US-Mexico Border,2/1/2018,Buses,16,-106.67903,31.85
434,Opheim,Montana,3317,US-Canada Border,12/1/2018,Trucks,17,-106.40265,48.85574
435,Norton,Vermont,211,US-Canada Border,11/1/2018,Trains,17,-71.79528,45.01
436,Otay Mesa,California,2506,US-Mexico Border,11/1/2018,Trains,17,-117.05333,32.57333
437,International Falls-Ranier,Minnesota,3604,US-Canada Border,10/1/2018,Buses,17,-93.41083,48.60111
438,Norton,Vermont,211,US-Canada Border,8/1/2018,Trains,17,-71.79528,45.01
439,Santa Teresa,New Mexico,2408,US-Mexico Border,7/1/2018,Buses,17,-106.67903,31.85
440,Pinecreek,Minnesota,3425,US-Canada Border,7/1/2018,Trucks,17,-95.81074,48.77518
441,Sumas,Washington,3009,US-Canada Border,7/1/2018,Buses,17,-122.26361,49.00028
442,Baudette,Minnesota,3424,US-Canada Border,6/1/2018,Buses,17,-94.72512,48.70731
443,Norton,Vermont,211,US-Canada Border,6/1/2018,Trains,17,-71.79528,45.01
444,Toledo-Sandusky,Ohio,4105,US-Canada Border,5/1/2018,Personal Vehicles,17,-83.53303,41.6648
445,Norton,Vermont,211,US-Canada Border,5/1/2018,Trains,17,-71.79528,45.01
446,Otay Mesa,California,2506,US-Mexico Border,3/1/2018,Trains,17,-117.05333,32.57333
447,Norton,Vermont,211,US-Canada Border,2/1/2018,Trains,17,-71.79528,45.01
448,Ketchikan,Alaska,3102,US-Canada Border,2/1/2018,Personal Vehicles,17,-131.64031,55.33897
449,Jackman,Maine,104,US-Canada Border,12/1/2018,Trains,18,-70.255,45.62389
450,Northgate,North Dakota,3406,US-Canada Border,11/1/2018,Trains,18,-102.39634,48.89848
451,San Luis,Arizona,2608,US-Mexico Border,11/1/2018,Buses,18,-114.78139,32.48694
452,Skagway,Alaska,3103,US-Canada Border,10/1/2018,Buses,18,-135.30656,59.47197
453,Highgate Springs-Alburg,Vermont,212,US-Canada Border,10/1/2018,Trains,18,-73.10583,44.97944
454,Portal,North Dakota,3403,US-Canada Border,9/1/2018,Buses,18,-102.54917,48.99583
455,Roma,Texas,2310,US-Mexico Border,9/1/2018,Buses,18,-99.01833,26.40361
456,Santa Teresa,New Mexico,2408,US-Mexico Border,8/1/2018,Buses,18,-106.67903,31.85
457,Dalton Cache,Alaska,3106,US-Canada Border,8/1/2018,Buses,18,-135.40995,59.10606
